No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
2251;53,308841;;53,308841;53,317085;0,008244;;0,008244;-0,307931;-0,316175
2252;53,317085;;53,317085;53,317085;0;;-0,307931;0,307931;0,615862
2253;53,317085;;53,317085;53,625016;0,307931;;0,307931;0;-0,307931
2254;53,625016;;53,625016;53,625016;0;;0;-0,000109;-0,000109
2255;53,625016;;53,625016;53,625016;0;;-0,000109;-0,013423;-0,013314
2256;53,625016;;53,625016;53,625125;0,000109;;-0,013423;0,013532;0,026955
2257;53,625125;;53,625125;53,638657;0,013532;;0,013532;-0,00021;-0,013742
2258;53,638657;;53,638657;53,638657;0;;-0,00021;-0,019546;-0,019336
2259;53,638657;;53,638657;53,638867;0,00021;;-0,019546;0,01889;0,038436
2260;53,638867;;53,638867;53,658623;0,019756;;0,01889;0,000688;-0,018202
2262;53,658623;;53,658623;53,659489;0,000866;;0,000688;6,4E-05;-0,000624
2263;53,659489;;53,659489;53,659667;0,000178;;6,4E-05;1,3E-05;-5,1E-05
2264;53,659667;;53,659667;53,659781;0,000114;;1,3E-05;-0,023981;-0,023994
2265;53,659781;;53,659781;53,659882;0,000101;;-0,023981;0,024082;0,048063
2266;53,659882;;53,659882;53,683964;0,024082;;0,024082;0;-0,024082
2267;53,683964;;53,683964;53,683964;0;;0;0;0
2268;53,683964;;53,683964;53,683964;0;;0;0;0
2269;53,683964;;53,683964;53,683964;0;;0;0;0
2270;53,683964;;53,683964;53,683964;0;;0;0;0
2271;53,683964;;53,683964;53,683964;0;;0;-0,000165;-0,000165
2272;53,683964;;53,683964;53,683964;0;;-0,000165;-0,021922;-0,021757
2273;53,683964;;53,683964;53,684129;0,000165;;-0,021922;0,011604;0,033526
2274;53,684129;;53,684129;53,706216;0,022087;;0,011604;0,004984;-0,00662
2275;53,706216;;53,706216;53,716699;0,010483;;0,004984;-0,022467;-0,027451
2276;53,716699;;53,716699;53,722198;0,005499;;-0,022467;0,027966;0,050433
2277;53,722198;;53,722198;53,750164;0,027966;;0,027966;-0,010943;-0,038909
2278;53,750164;;53,750164;53,750164;0;;-0,010943;0,01082;0,021763
2279;53,750164;;53,750164;53,761107;0,010943;;0,01082;-0,035927;-0,046747
2280;53,761107;;53,761107;53,76123;0,000123;;-0,035927;0,03605;0,071977
2281;53,76123;;53,76123;53,79728;0,03605;;0,03605;-0,116656;-0,152706
2282;53,79728;;53,79728;53,79728;0;;-0,116656;0,116656;0,233312
2283;53,79728;;53,79728;53,913936;0,116656;;0,116656;-0,000277;-0,116933
2284;53,913936;;53,913936;53,913936;0;;-0,000277;-0,028972;-0,028695
2285;53,913936;;53,913936;53,914213;0,000277;;-0,028972;0,029249;0,058221
2286;53,914213;;53,914213;53,943462;0,029249;;0,029249;-8,7E-05;-0,029336
2287;53,943462;;53,943462;53,943462;0;;-8,7E-05;-0,033292;-0,033205
2288;53,943462;;53,943462;53,943549;8,7E-05;;-0,033292;0,033379;0,066671
2289;53,943549;;53,943549;53,976928;0,033379;;0,033379;-0,000148;-0,033527
2290;53,976928;;53,976928;53,976928;0;;-0,000148;-0,009804;-0,009656
2291;53,976928;;53,976928;53,977076;0,000148;;-0,009804;-0,02319;-0,013386
2292;53,977076;;53,977076;53,987028;0,009952;;-0,02319;0,033142;0,056332
2293;53,987028;;53,987028;54,02017;0,033142;;0,033142;-0,04437;-0,077512
2294;54,02017;;54,02017;54,02017;0;;-0,04437;-0,23165;-0,18728
2295;54,02017;;54,02017;54,06454;0,04437;;-0,23165;0,273283;0,504933
2296;54,06454;;54,06454;54,34056;0,27602;;0,273283;0,002706;-0,270577
2298;54,34056;;54,34056;54,343297;0,002737;;0,002706;-6,3E-05;-0,002769
2299;54,343297;;54,343297;54,343328;3,1E-05;;-6,3E-05;-3E-05;3,3E-05
2300;54,343328;;54,343328;54,343422;9,4E-05;;-3E-05;5,1E-05;8,1E-05
2301;54,343422;;54,343422;54,343546;0,000124;;5,1E-05;-0,000125;-0,000176
2302;54,343546;;54,343546;54,343619;7,3E-05;;-0,000125;0,000104;0,000229
2303;54,343619;;54,343619;54,343817;0,000198;;0,000104;-0,016646;-0,01675
2304;54,343817;;54,343817;54,343911;9,4E-05;;-0,016646;0,01674;0,033386
2305;54,343911;;54,343911;54,360651;0,01674;;0,01674;-0,000319;-0,017059
2309;54,360651;;54,360651;54,360651;0;;-0,000319;0,000247;0,000566
2310;54,360651;;54,360651;54,36097;0,000319;;0,000247;-0,000113;-0,00036
2311;54,36097;;54,36097;54,361042;7,2E-05;;-0,000113;0,000185;0,000298
2312;54,361042;;54,361042;54,361227;0,000185;;0,000185;-0,000154;-0,000339
2313;54,361227;;54,361227;54,361227;0;;-0,000154;0,000123;0,000277
2314;54,361227;;54,361227;54,361381;0,000154;;0,000123;-0,001696;-0,001819
2315;54,361381;;54,361381;54,361412;3,1E-05;;-0,001696;-0,000853;0,000843
2316;54,361412;;54,361412;54,363139;0,001727;;-0,000853;0,00258;0,003433
